,mean,min,max,std,count,perc_1,perc_5,perc_10,perc_25,perc_50,perc_75,perc_90,perc_95,perc_99
0,2.767578125,3.5762786865234375e-07,22.453125,inf,68083.0,0.0007452964782714844,0.020263671875,0.1348876953125,0.71826171875,2.046875,4.140625,6.40625,7.91015625,10.875
1,3.0703125,3.933906555175781e-06,23.203125,inf,67006.0,0.00019788742065429688,0.005283355712890625,0.06585693359375,0.66455078125,2.203125,4.74609375,7.42578125,9.0546875,11.7265625
2,2.67578125,1.1920928955078125e-07,24.984375,inf,65564.0,0.0009245872497558594,0.029052734375,0.1591796875,0.75341796875,1.9814453125,3.978515625,6.27734375,7.87109375,11.015625
3,2.708984375,3.2186508178710938e-06,18.828125,inf,67128.0,0.00048041343688964844,0.0252685546875,0.1630859375,0.7216796875,1.9921875,4.07421875,6.35546875,7.75,10.5625
4,2.94140625,5.960464477539062e-07,20.046875,inf,71899.0,0.0005979537963867188,0.0163726806640625,0.12744140625,0.748046875,2.15234375,4.421875,6.9921875,8.53125,11.5390625
5,2.333984375,1.1920928955078125e-07,22.71875,inf,67325.0,0.00014722347259521484,0.005401611328125,0.040374755859375,0.408203125,1.5361328125,3.46875,5.9609375,7.58203125,10.5390625
6,1.8779296875,-0.0,27.6875,inf,66129.0,4.0650367736816406e-05,0.0010318756103515625,0.0063629150390625,0.1026611328125,0.84521484375,2.802734375,5.359375,7.109375,10.4453125
7,2.544921875,-0.0,28.421875,inf,66866.0,0.0001729726791381836,0.006061553955078125,0.04754638671875,0.4677734375,1.7568359375,3.830078125,6.234375,7.8203125,10.6640625
8,2.7578125,5.960464477539062e-07,22.359375,inf,72174.0,0.0004062652587890625,0.010101318359375,0.08428955078125,0.6171875,1.9482421875,4.1640625,6.6796875,8.203125,11.125
9,2.767578125,5.960464477539062e-07,22.640625,inf,65988.0,0.0004634857177734375,0.0196533203125,0.13525390625,0.70654296875,2.0,4.078125,6.53515625,8.15625,11.1015625
10,2.1171875,-0.0,33.4375,inf,73311.0,4.875659942626953e-05,0.0011730194091796875,0.007038116455078125,0.1539306640625,1.1767578125,3.17578125,5.8125,7.6015625,11.140625
11,2.83984375,7.152557373046875e-07,21.125,inf,69840.0,0.0004153251647949219,0.007511138916015625,0.06878662109375,0.6171875,2.015625,4.3359375,6.85546875,8.4296875,11.40625
12,3.3984375,7.152557373046875e-07,20.453125,inf,71706.0,0.001071929931640625,0.023193359375,0.1324462890625,0.87109375,2.53515625,5.2421875,7.953125,9.515625,12.546875
13,2.654296875,1.0728836059570312e-06,21.984375,inf,74443.0,0.0002779960632324219,0.0086212158203125,0.0633544921875,0.5458984375,1.8115234375,3.97265625,6.4921875,8.203125,11.3125
